frame_idx,time_sec,rat_a_slot,rat_b_slot,rat_a_track_id,rat_b_track_id,zone,contact_type,investigator_slot,nose_nose_dist_px,nose_nose_dist_bl,nose_tailbase_dist_px,nose_tailbase_dist_bl,centroid_dist_px,centroid_dist_bl,mask_iou,body_length_a_px,body_length_b_px,velocity_a_px,velocity_b_px,orientation_cos,quality_flag,bout_id
110,3.6667,0,1,1,2,independent,,,800.3,3.1477,754.7,2.9686,774.5,3.0465,0.0,242.5,253.7,10.5,1.1,0.9977,,
111,3.7,0,1,1,2,independent,,,791.3,3.1163,749.4,2.9514,771.7,3.0395,0.0,248.5,253.4,10.5,1.7,0.9955,,
112,3.7333,0,1,1,2,independent,,,784.8,3.097,745.4,2.9414,767.5,3.0287,0.0,247.9,249.9,6.4,2.0,0.9948,,
113,3.7667,0,1,1,2,independent,,,781.6,3.0917,746.8,2.954,765.0,3.0261,0.0,246.0,249.0,9.2,2.1,0.9947,,
114,3.8,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
115,3.8333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
116,3.8667,0,1,1,2,independent,,,763.1,3.0204,732.2,2.898,750.1,2.9689,0.0,253.0,257.4,10.5,9.4,0.9978,,
117,3.9,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
118,3.9333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
119,3.9667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
120,4.0,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
121,4.0333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
122,4.0667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
123,4.1,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
124,4.1333,0,1,1,2,independent,,,757.9,2.9818,710.6,2.7959,733.1,2.8844,0.0,255.8,253.2,9.9,4.1,1.0,,
125,4.1667,0,1,1,2,independent,,,759.2,2.9807,708.7,2.7822,728.3,2.8592,0.0,262.9,256.4,10.2,0.5,0.9981,,
126,4.2,0,1,1,2,independent,,,763.1,2.9913,701.3,2.7489,721.3,2.8274,0.0,255.6,261.5,10.1,0.3,0.9919,,
127,4.2333,0,1,1,2,independent,,,766.4,2.9993,694.8,2.719,718.6,2.8124,0.0,256.7,261.9,10.6,2.4,0.9848,,
128,4.2667,0,1,1,2,independent,,,769.7,3.0057,689.0,2.6907,717.1,2.8004,0.0,257.7,264.5,10.4,3.6,0.9763,,
129,4.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
130,4.3333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
131,4.3667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
132,4.4,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
133,4.4333,0,1,1,2,independent,,,744.8,2.8868,689.1,2.6708,713.1,2.7639,0.0,270.7,266.7,9.5,5.8,0.9939,,
134,4.4667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
135,4.5,0,1,1,2,independent,,,729.1,2.8004,698.5,2.6826,720.6,2.7677,0.0,282.4,264.1,7.8,5.6,0.9999,,
136,4.5333,0,1,1,2,independent,,,719.9,2.7501,700.7,2.6766,720.8,2.7535,0.0,289.6,259.1,10.9,2.0,0.9996,,
137,4.5667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
138,4.6,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
139,4.6333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
140,4.6667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
141,4.7,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
142,4.7333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
143,4.7667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
144,4.8,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
145,4.8333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
146,4.8667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
147,4.9,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
148,4.9333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
149,4.9667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
150,5.0,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
151,5.0333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
152,5.0667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
153,5.1,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
154,5.1333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
155,5.1667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
156,5.2,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
157,5.2333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
158,5.2667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
159,5.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
160,5.3333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
161,5.3667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
162,5.4,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
163,5.4333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
164,5.4667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
165,5.5,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
166,5.5333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
167,5.5667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
168,5.6,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
169,5.6333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
170,5.6667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
171,5.7,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
172,5.7333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
173,5.7667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
174,5.8,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
175,5.8333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
176,5.8667,0,1,1,2,independent,,,361.1,1.4531,535.7,2.1556,570.9,2.2972,0.0,246.2,218.0,11.0,1.6,-0.3255,,
177,5.9,0,1,1,2,independent,,,357.5,1.4482,529.3,2.1444,559.7,2.2672,0.0,247.5,215.9,10.6,1.4,-0.3175,,
178,5.9333,0,1,1,2,independent,,,344.1,1.4002,515.7,2.0989,553.4,2.252,0.0,254.6,216.5,13.4,0.7,-0.3814,,
179,5.9667,0,1,1,2,independent,,,325.6,1.3308,494.2,2.0197,538.3,2.1998,0.0,253.6,217.4,17.7,0.6,-0.4481,,
180,6.0,0,1,1,2,independent,,,315.9,1.2946,484.3,1.985,534.1,2.1889,0.0,257.2,218.2,10.4,0.4,-0.4506,,
181,6.0333,0,1,1,2,independent,,,305.8,1.2558,478.6,1.9656,520.4,2.1374,0.0,257.0,220.5,12.9,0.6,-0.4242,,
182,6.0667,0,1,1,2,independent,,,301.9,1.2423,475.9,1.9588,516.5,2.1258,0.0,257.1,219.9,12.6,0.9,-0.446,,
183,6.1,0,1,1,2,independent,,,279.1,1.1488,451.1,1.8569,507.9,2.0908,0.0,267.2,217.6,10.7,0.5,-0.4977,,
184,6.1333,0,1,1,2,independent,,,275.1,1.1337,447.7,1.845,506.4,2.0867,0.0,263.2,217.3,10.7,0.9,-0.547,,
185,6.1667,0,1,1,2,independent,,,256.5,1.0546,431.0,1.7721,498.4,2.049,0.0,279.2,217.7,7.0,1.9,-0.5926,,
186,6.2,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
187,6.2333,0,1,1,2,independent,,,235.6,0.9639,408.4,1.6705,482.5,1.9739,0.0,282.3,213.7,13.2,2.2,-0.6369,,
188,6.2667,0,1,1,2,independent,,,215.1,0.8778,390.2,1.592,477.0,1.9464,0.0,287.8,213.6,12.4,1.6,-0.6366,,
189,6.3,0,1,1,2,independent,,,208.1,0.8492,388.3,1.5841,466.4,1.9028,0.0,281.9,209.0,7.2,1.2,-0.676,,
190,6.3333,0,1,1,2,independent,,,194.0,0.7904,369.9,1.507,452.8,1.8445,0.0,284.9,212.5,14.0,1.6,-0.6735,,
191,6.3667,0,1,1,2,independent,,,190.6,0.7781,368.2,1.5033,442.3,1.8057,0.0,272.4,208.0,13.9,0.8,-0.7004,,
192,6.4,0,1,1,2,independent,,,177.6,0.7262,357.6,1.4624,434.9,1.7783,0.0,271.2,210.7,14.0,0.6,-0.7341,,
193,6.4333,0,1,1,2,independent,,,168.1,0.6877,345.2,1.4119,430.6,1.7613,0.0,277.5,210.7,5.6,1.3,-0.7794,,
194,6.4667,0,1,1,2,independent,,,154.1,0.6294,336.3,1.3735,428.3,1.7489,0.0,282.2,214.6,12.0,1.3,-0.7927,,
195,6.5,0,1,1,2,independent,,,151.6,0.6186,333.6,1.3608,425.9,1.7373,0.0,277.3,217.6,10.0,0.1,-0.8103,,
196,6.5333,0,1,1,2,independent,,,142.5,0.58,321.8,1.31,413.0,1.6814,0.0,281.5,218.9,8.4,1.7,-0.8294,,
197,6.5667,0,1,1,2,independent,,,137.8,0.561,316.4,1.2882,404.0,1.645,0.0,272.4,217.5,11.2,2.1,-0.8359,,
198,6.6,0,1,1,2,independent,,,122.4,0.4975,303.2,1.2326,393.8,1.6008,0.0,278.3,220.7,9.7,1.7,-0.8474,,
199,6.6333,0,1,1,2,independent,,,110.5,0.4487,292.2,1.1861,380.2,1.5431,0.0,277.2,222.9,12.3,1.8,-0.8543,,
200,6.6667,0,1,1,2,independent,,,107.7,0.4358,274.0,1.109,372.0,1.5058,0.0,281.3,224.8,9.7,0.9,-0.8294,,
201,6.7,0,1,1,2,independent,,,93.2,0.3759,257.7,1.039,357.7,1.4421,0.0,286.0,228.1,10.2,1.5,-0.8219,,
202,6.7333,0,1,1,2,independent,,,91.3,0.3671,253.7,1.0204,342.4,1.377,0.0,275.7,232.3,13.1,2.0,-0.8223,,
203,6.7667,0,1,1,2,independent,,,79.2,0.318,244.2,0.9806,328.2,1.3178,0.0,273.2,232.7,12.5,1.5,-0.8214,,
204,6.8,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
205,6.8333,0,1,1,2,contact,N2N,,71.2,0.2861,209.5,0.8416,301.0,1.2091,0.0,273.5,232.7,8.6,3.2,-0.8881,,3
206,6.8667,0,1,1,2,contact,N2N,,71.1,0.2849,204.9,0.8217,295.9,1.1862,0.0,270.8,237.0,8.3,1.1,-0.901,,3
207,6.9,0,1,1,2,contact,N2B,0,89.0,0.3564,209.8,0.8398,292.6,1.1713,0.0,264.0,242.3,6.8,0.7,-0.9393,,4
208,6.9333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
