frame_idx,time_sec,rat_a_slot,rat_b_slot,rat_a_track_id,rat_b_track_id,zone,contact_type,investigator_slot,nose_nose_dist_px,nose_nose_dist_bl,nose_tailbase_dist_px,nose_tailbase_dist_bl,centroid_dist_px,centroid_dist_bl,mask_iou,body_length_a_px,body_length_b_px,velocity_a_px,velocity_b_px,orientation_cos,quality_flag,bout_id
139,4.6333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
140,4.6667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
141,4.7,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
142,4.7333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
143,4.7667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
144,4.8,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
145,4.8333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
146,4.8667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
147,4.9,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
148,4.9333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
149,4.9667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
150,5.0,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
151,5.0333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
152,5.0667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
153,5.1,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
154,5.1333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
155,5.1667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
156,5.2,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
157,5.2333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
158,5.2667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
159,5.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
160,5.3333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
161,5.3667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
162,5.4,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
163,5.4333,0,1,1,2,independent,,,464.2,1.833,567.3,2.2398,627.7,2.4783,0.0,239.6,242.8,2.7,2.6,0.2662,,
